topic_id	topic_words	topic_weight	year
27	tampere maria työm neiti rouva teht karl anna johan tytär	0.004904692149887	1855
28	tuore naula maito leiw liha kaura kilo suolata ohra heinä	0.026394177609961	1855
29	talo helmikuu maaliskuu katu huone tammikuu marrella ilmoitus omistaja puoti	0.012823333144023	1855
30	rupla rupl kopeekka ulkomaa armo lähettää vuonna tamara maaviljelys tilata	0.01116729528749	1855
31	hinta päivä talo halpa hyvä helsinki haluta toimittaa ostaa varasto	0.00677005543961	1855
32	sanoa mies tuli silmä tahtoa käsi pitää herra poika äiti	0.056027929927288	1855
33	suomi kieli ruotsi sana ruotsalainen sanoa kirjoitus yliopisto lukea kirjoittaa	0.030989385214165	1855
34	sanoma kolera viikko tidning lehtiä ruotsa sanoa helsingfors kahdesti aivan	0.012606972693606	1855
35	markka oppilas kansakoulu hinta kertoa ilmestyä koulu kaupunki kirja teos	0.016925628069702	1855
36	mies ampua venäläinen sota joukko tuli vihollinen sotamies turkkilainen upseeri	0.08288842733234	1855
37	pitäjä kylässä kappeli tila pitäjäs kihlakunta lääni tuomiokunta mainita sato	0.021138139908639	1855
38	turku pori kello talo ilmoittaa rauma hinta kaupunki turunen huutokauppa	0.013257591986844	1855
39	pitää voida kysymys lehti tahtoa mies tärkeä lausua elää puolue	0.008330576984115	1855
40	kokous suomi seura pitää vuosi kunta johtokunta senaatti yhdistys lääni	0.004291379229498	1855
41	lehti ilmoitus penni vuosi konttori maksaa toimitus hinta tilata toimittaja	0.015817998453045	1855
42	siemen itää halla kongressi mänty kylvää kuusi tuuma laiho panna	0.00173371503817	1855
43	matti anna maria antti mies todistaja jaakko poika tytär raha	0.016380613767044	1855
44	muosi moida manen seurata sanoa pitää kaupunki kunta aima mies	0.03593817425537	1855
45	pitää voida vuosi hyvä sanoa päivä hyvin tarvita toivoa aivan	0.060019458214463	1855
46	oulu lähteä matka mesi ranta kulkea meri kesä tuli kaupunki	0.049063757427297	1855
47	palkinto taloll tamma kilpaajo hevonen juosta ruskea musta rata herra	0.003604599241975	1855
48	tuomio tuomita kokemäki yhteisesti koski niittu suusta virta nuotta vuonna	0.001139408812676	1855
49	helsinki posti lähteä sunnuntai päivä tiistai juna pietari maanantai konttori	0.012666980090654	1855
50	lilo tiistaisin perjantaisin postilaitos munkki 10—11 sunnuntaisin punainen risti lauvantaa	0.000973430676401	1855
1	lintu käärme metalli pesä oksa kääntää pussi tina pakana kirkas	0.004114883228961	1856
2	kuningas eläin tuuli luokka lehmä tyyni herttua voida sonni sade	0.013101417445627	1856
3	kirkko pastori saarna past saarnata ruotsalainen sunnuntai seurakunta pitää iltasaarna	0.008531373184278	1856
4	unkari kreivi unkarilainen varsinainen opett kansallisuus kieli rakennus virta sena	0.001197411003236	1856
5	lukea pitää selä lautta mies tuoda taka muta lehti toimi	0.019696646195489	1856
6	suomi määrätä keisarillinen pitää markka majesteetti asetus mainita helsinki senaatti	0.02490990630565	1856
7	kuopio lääni tapio savo rautalampi karttula oulu suonenjoki dahlström herra	0.018540858886789	1856
8	vuosi päivä markka kaupunki sanoa maksaa pitäjä tynnyri mainita suomi	0.026356735916236	1856
9	till tili kello kaupunki samt tieto talo päivä penni oulu	0.001263032132535	1856
10	mikkeli rantasalmi kangasniemi joroinen myymälä aleksanterinkatu joutsa kerimäki puumala mikkelinen	0.005458058107259	1856
11	sääty mietintö ehdotus esitys valiokunta kysymys puhuja pitää ehdottaa anomus	0.007095764268094	1856
12	palaa tulipalo tuli poro lokak lapsi syttyä susi polttaa rakennus	0.013787892554875	1856
13	ilmoittaa päivä pitäjä marraskuu huutokauppa pesä oikeus mainita kylässä kello	0.007535149486027	1856
14	hämeenlinna helsinki seteli vainaa marrask entää tampere häme marrast mina	0.008081050652701	1856
15	pitää seura lääni kokous mainita ilmoittaa määrätä suomi helsinki toimi	0.054098469086296	1856
16	vuosi kaupunki joulukuu tammikuu markka henki joulu suomi kuollut yhtiö	0.022033972057079	1856
17	talollinen juho kauppias torppari kaarle kustaa matti wilhelm heikki juhana	0.004011802494098	1856
18	pitää raha metsä maksaa tukea ihminen sanoa talo panna pelto	0.06525612579965	1856
19	lappi lappalainen norja norjalainen virkamies sikäläinen pappi hakea posti kartoittaa	0.004908604071225	1856
20	kello wiipuri joensuu viipuri kaupunki sunnuntai lappeenranta talo lello aamu	0.017947043217152	1856
21	nisu korkea kaura hinta puoliso tnlla kostaa lysyä alfred jalkine	0.000246571120358	1856
22	kirkkoherra kappalainen virka pappi seurakunta apulainen määrätä turku toimittaa mirka	0.019558275180889	1856
23	jumala elää lapsi ihminen sana herra sydän pyhä rakkaus sanoa	0.066026868911612	1856
24	koulu opettaja virka palkka opettajatar opisto hakea julistaa aine kesäkuu	0.009762579394782	1856
25	orioka litra jofa meijeri roielä muta port foto fefä korea	0.002424228002469	1856
26	hallitus englanti keisari venäjä ranska sota saksa sanoa ulkomaa ministeri	0.045643810010864	1856
27	tampere maria työm neiti rouva teht karl anna johan tytär	0.002922288067919	1856
28	tuore naula maito leiw liha kaura kilo suolata ohra heinä	0.04071466463825	1856
29	talo helmikuu maaliskuu katu huone tammikuu marrella ilmoitus omistaja puoti	0.00973423007103	1856
30	rupla rupl kopeekka ulkomaa armo lähettää vuonna tamara maaviljelys tilata	0.021080810389626	1856
31	hinta päivä talo halpa hyvä helsinki haluta toimittaa ostaa varasto	0.004670480385786	1856
32	sanoa mies tuli silmä tahtoa käsi pitää herra poika äiti	0.062977069466181	1856
33	suomi kieli ruotsi sana ruotsalainen sanoa kirjoitus yliopisto lukea kirjoittaa	0.044273164544401	1856
34	sanoma kolera viikko tidning lehtiä ruotsa sanoa helsingfors kahdesti aivan	0.012146130072165	1856
35	markka oppilas kansakoulu hinta kertoa ilmestyä koulu kaupunki kirja teos	0.019143197624329	1856
36	mies ampua venäläinen sota joukko tuli vihollinen sotamies turkkilainen upseeri	0.048418676333702	1856
37	pitäjä kylässä kappeli tila pitäjäs kihlakunta lääni tuomiokunta mainita sato	0.020899538540285	1856
38	turku pori kello talo ilmoittaa rauma hinta kaupunki turunen huutokauppa	0.013934084207762	1856
39	pitää voida kysymys lehti tahtoa mies tärkeä lausua elää puolue	0.01073688976301	1856
40	kokous suomi seura pitää vuosi kunta johtokunta senaatti yhdistys lääni	0.004389745806643	1856
41	lehti ilmoitus penni vuosi konttori maksaa toimitus hinta tilata toimittaja	0.023482140736417	1856
42	siemen itää halla kongressi mänty kylvää kuusi tuuma laiho panna	0.003593423836142	1856
43	matti anna maria antti mies todistaja jaakko poika tytär raha	0.017550073327336	1856
44	muosi moida manen seurata sanoa pitää kaupunki kunta aima mies	0.042020914171377	1856
45	pitää voida vuosi hyvä sanoa päivä hyvin tarvita toivoa aivan	0.062655394604394	1856
46	oulu lähteä matka mesi ranta kulkea meri kesä tuli kaupunki	0.050529869559672	1856
47	palkinto taloll tamma kilpaajo hevonen juosta ruskea musta rata herra	0.003015522772804	1856
48	tuomio tuomita kokemäki yhteisesti koski niittu suusta virta nuotta vuonna	0.000953151487132	1856
